training on pkl 1
Train Epoch: 1 [0/4654349 (0%)]	lr:0.008 Loss: 0.692464	TrainAcc: 49.22
Train Epoch: 1 [128000/4654349 (3%)]	lr:0.008 Loss: 0.233893	TrainAcc: 91.02
Train Epoch: 1 [256000/4654349 (5%)]	lr:0.008 Loss: 0.291392	TrainAcc: 87.11
Train Epoch: 1 [384000/4654349 (8%)]	lr:0.008 Loss: 0.215170	TrainAcc: 92.19
Train Epoch: 1 [512000/4654349 (11%)]	lr:0.008 Loss: 0.221547	TrainAcc: 90.23
Train Epoch: 1 [640000/4654349 (14%)]	lr:0.008 Loss: 0.214979	TrainAcc: 92.19
Train Epoch: 1 [768000/4654349 (16%)]	lr:0.008 Loss: 0.178357	TrainAcc: 92.97
Train Epoch: 1 [896000/4654349 (19%)]	lr:0.008 Loss: 0.254645	TrainAcc: 90.23
Train Epoch: 1 [1024000/4654349 (22%)]	lr:0.008 Loss: 0.243417	TrainAcc: 89.84
Train Epoch: 1 [1152000/4654349 (25%)]	lr:0.008 Loss: 0.169423	TrainAcc: 93.36
Train Epoch: 1 [1280000/4654349 (27%)]	lr:0.008 Loss: 0.218579	TrainAcc: 92.19
Train Epoch: 1 [1408000/4654349 (30%)]	lr:0.008 Loss: 0.175750	TrainAcc: 93.36
Train Epoch: 1 [1536000/4654349 (33%)]	lr:0.008 Loss: 0.185567	TrainAcc: 91.41
Train Epoch: 1 [1664000/4654349 (36%)]	lr:0.008 Loss: 0.277320	TrainAcc: 88.28
Train Epoch: 1 [1792000/4654349 (38%)]	lr:0.008 Loss: 0.170001	TrainAcc: 92.97
Train Epoch: 1 [1920000/4654349 (41%)]	lr:0.008 Loss: 0.183613	TrainAcc: 93.36
Train Epoch: 1 [2048000/4654349 (44%)]	lr:0.008 Loss: 0.183399	TrainAcc: 92.58
Train Epoch: 1 [2176000/4654349 (47%)]	lr:0.008 Loss: 0.183684	TrainAcc: 92.58
Train Epoch: 1 [2304000/4654349 (49%)]	lr:0.008 Loss: 0.202489	TrainAcc: 92.58
Train Epoch: 1 [2432000/4654349 (52%)]	lr:0.008 Loss: 0.113789	TrainAcc: 96.09
Train Epoch: 1 [2560000/4654349 (55%)]	lr:0.008 Loss: 0.287897	TrainAcc: 91.02
Train Epoch: 1 [2688000/4654349 (58%)]	lr:0.008 Loss: 0.172396	TrainAcc: 92.19
Train Epoch: 1 [2816000/4654349 (60%)]	lr:0.008 Loss: 0.187045	TrainAcc: 91.02
Train Epoch: 1 [2944000/4654349 (63%)]	lr:0.008 Loss: 0.157041	TrainAcc: 95.31
Train Epoch: 1 [3072000/4654349 (66%)]	lr:0.008 Loss: 0.193473	TrainAcc: 92.19
Train Epoch: 1 [3200000/4654349 (69%)]	lr:0.008 Loss: 0.180069	TrainAcc: 93.36
Train Epoch: 1 [3328000/4654349 (71%)]	lr:0.008 Loss: 0.268345	TrainAcc: 89.45
Train Epoch: 1 [3456000/4654349 (74%)]	lr:0.008 Loss: 0.107764	TrainAcc: 96.48
Train Epoch: 1 [3584000/4654349 (77%)]	lr:0.008 Loss: 0.180461	TrainAcc: 92.58
Train Epoch: 1 [3712000/4654349 (80%)]	lr:0.008 Loss: 0.184643	TrainAcc: 92.97
Train Epoch: 1 [3840000/4654349 (82%)]	lr:0.008 Loss: 0.153363	TrainAcc: 94.53
Train Epoch: 1 [3968000/4654349 (85%)]	lr:0.008 Loss: 0.095143	TrainAcc: 96.48
Train Epoch: 1 [4096000/4654349 (88%)]	lr:0.008 Loss: 0.176470	TrainAcc: 92.97
Train Epoch: 1 [4224000/4654349 (91%)]	lr:0.008 Loss: 0.160794	TrainAcc: 94.14
Train Epoch: 1 [4352000/4654349 (93%)]	lr:0.008 Loss: 0.219673	TrainAcc: 90.23
Train Epoch: 1 [4480000/4654349 (96%)]	lr:0.008 Loss: 0.139838	TrainAcc: 95.31
Train Epoch: 1 [4608000/4654349 (99%)]	lr:0.008 Loss: 0.169315	TrainAcc: 93.75
time/epoch: 497.094895s

Test set: Average loss: 0.0002, Accuracy: 442740/476257 (92.96%)

training on pkl 2
Train Epoch: 1 [0/4568911 (0%)]	lr:0.008 Loss: 0.225583	TrainAcc: 91.02
Train Epoch: 1 [128000/4568911 (3%)]	lr:0.008 Loss: 0.167949	TrainAcc: 92.19
Train Epoch: 1 [256000/4568911 (6%)]	lr:0.008 Loss: 0.124945	TrainAcc: 96.09
Train Epoch: 1 [384000/4568911 (8%)]	lr:0.008 Loss: 0.146910	TrainAcc: 94.92
Train Epoch: 1 [512000/4568911 (11%)]	lr:0.008 Loss: 0.153835	TrainAcc: 93.36
Train Epoch: 1 [640000/4568911 (14%)]	lr:0.008 Loss: 0.238013	TrainAcc: 90.62
Train Epoch: 1 [768000/4568911 (17%)]	lr:0.008 Loss: 0.155401	TrainAcc: 94.14
Train Epoch: 1 [896000/4568911 (20%)]	lr:0.008 Loss: 0.216339	TrainAcc: 91.41
Train Epoch: 1 [1024000/4568911 (22%)]	lr:0.008 Loss: 0.203322	TrainAcc: 91.41
Train Epoch: 1 [1152000/4568911 (25%)]	lr:0.008 Loss: 0.164146	TrainAcc: 94.53
Train Epoch: 1 [1280000/4568911 (28%)]	lr:0.008 Loss: 0.162836	TrainAcc: 92.19
Train Epoch: 1 [1408000/4568911 (31%)]	lr:0.008 Loss: 0.161270	TrainAcc: 93.36
Train Epoch: 1 [1536000/4568911 (34%)]	lr:0.008 Loss: 0.194017	TrainAcc: 92.19
Train Epoch: 1 [1664000/4568911 (36%)]	lr:0.008 Loss: 0.217290	TrainAcc: 91.80
Train Epoch: 1 [1792000/4568911 (39%)]	lr:0.008 Loss: 0.119884	TrainAcc: 96.88
Train Epoch: 1 [1920000/4568911 (42%)]	lr:0.008 Loss: 0.157566	TrainAcc: 93.75
Train Epoch: 1 [2048000/4568911 (45%)]	lr:0.008 Loss: 0.196966	TrainAcc: 93.75
Train Epoch: 1 [2176000/4568911 (48%)]	lr:0.008 Loss: 0.149729	TrainAcc: 94.14
Train Epoch: 1 [2304000/4568911 (50%)]	lr:0.008 Loss: 0.150288	TrainAcc: 94.14
Train Epoch: 1 [2432000/4568911 (53%)]	lr:0.008 Loss: 0.151913	TrainAcc: 93.36
Train Epoch: 1 [2560000/4568911 (56%)]	lr:0.008 Loss: 0.186682	TrainAcc: 91.02
Train Epoch: 1 [2688000/4568911 (59%)]	lr:0.008 Loss: 0.164900	TrainAcc: 92.97
Train Epoch: 1 [2816000/4568911 (62%)]	lr:0.008 Loss: 0.146203	TrainAcc: 94.92
Train Epoch: 1 [2944000/4568911 (64%)]	lr:0.008 Loss: 0.185190	TrainAcc: 91.80
Train Epoch: 1 [3072000/4568911 (67%)]	lr:0.008 Loss: 0.155172	TrainAcc: 93.36
Train Epoch: 1 [3200000/4568911 (70%)]	lr:0.008 Loss: 0.153956	TrainAcc: 92.58
Train Epoch: 1 [3328000/4568911 (73%)]	lr:0.008 Loss: 0.121663	TrainAcc: 96.09
Train Epoch: 1 [3456000/4568911 (76%)]	lr:0.008 Loss: 0.216179	TrainAcc: 91.41
Train Epoch: 1 [3584000/4568911 (78%)]	lr:0.008 Loss: 0.192454	TrainAcc: 92.97
Train Epoch: 1 [3712000/4568911 (81%)]	lr:0.008 Loss: 0.176444	TrainAcc: 93.36
Train Epoch: 1 [3840000/4568911 (84%)]	lr:0.008 Loss: 0.163438	TrainAcc: 93.75
Train Epoch: 1 [3968000/4568911 (87%)]	lr:0.008 Loss: 0.196374	TrainAcc: 91.02
Train Epoch: 1 [4096000/4568911 (90%)]	lr:0.008 Loss: 0.155328	TrainAcc: 93.36
Train Epoch: 1 [4224000/4568911 (92%)]	lr:0.008 Loss: 0.147987	TrainAcc: 93.36
Train Epoch: 1 [4352000/4568911 (95%)]	lr:0.008 Loss: 0.225901	TrainAcc: 92.19
Train Epoch: 1 [4480000/4568911 (98%)]	lr:0.008 Loss: 0.166251	TrainAcc: 94.92
time/epoch: 441.256235s

Test set: Average loss: 0.0002, Accuracy: 445844/476257 (93.61%)

training on pkl 3
Train Epoch: 1 [0/4623352 (0%)]	lr:0.008 Loss: 0.122751	TrainAcc: 94.53
Train Epoch: 1 [128000/4623352 (3%)]	lr:0.008 Loss: 0.279506	TrainAcc: 88.67
